ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	day	castingStat	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
2338a3d	cb5a583	a377ce47	868a4b	High Elf	Sage	2019-02-14T21:05:37Z	Wizard 20	Wizard	School of Necromancy	20	Lucky|Elven Accuracy|Magic Initiate	92	10	8	11	11	14	14	12		Arcana|History|Investigation|Religion|Perception	Quarterstaff	Animate Dead*3	02 14 2019	Int	Dominican Republic	DO		NA	NA	Elf	Animate Dead*3	Quarterstaff	19-20	suspicious_germain
2338a3d	cb5a583	6690d805	cf6827	Human	Soldier	2019-02-14T21:03:50Z	Monk 20	Monk	Way of the Open Hand	20	Mobile|Lucky|Defensive Duelist	189	12	16	15	16	13	11	11		Athletics|Acrobatics|Religion|Intimidation	Dart|Unarmed strike		02 14 2019	Int	Dominican Republic	DO		NA	NA	Human		Dart|Unarmed Strike	19-20	mystifying_darwin
2338a3d	cb5a583	816b6f74	81c630	Ghastly Halfling	Acolyte	2019-02-14T21:02:09Z	Cleric 20	Cleric	Knowledge Domain	20	Lucky|Second Chance|Magic Initiate|Observant	166	15	5	8	16	12	15	15		Arcana|History|Nature|Religion|Insight|Persuasion	Mace|Crossbow, light	Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3|Arcane Eye*4|Confusion*4|Legend Lore*5|Scrying*5	02 14 2019	Wis	Dominican Republic	DO		NA	NA	Halfling	Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3|Arcane Eye*4|Confusion*4|Legend Lore*5|Scrying*5	Mace|Crossbow, Light	19-20	serene_bassi
2338a3d	cb5a583	0eac2e87	07a357	Gray Dwarf	Soldier	2019-02-14T21:01:26Z	Paladin 20	Paladin	Oath of Vengeance	20	Lucky|Dwarven Fortitude|Sentinel	220	16	18	10	17	13	12	10		Athletics|Religion|Medicine|Intimidation	Javelin	Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5	02 14 2019	Cha	Dominican Republic	DO		NA	NA	Dwarf	Bane*1|Hunter's Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5	Javelin	19-20	unruffled_nightingale
2338a3d	cb5a583	b0744667	30ea84	Human	Hermit	2019-02-14T20:48:55Z	Sorcerer 20	Sorcerer	Draconic Bloodline	20	Magic Initiate|Mage Slayer|Lucky	156	12	13	9	15	11	12	16		Arcana|Religion|Medicine|Persuasion	Crossbow, light|Dagger		02 14 2019	Cha	Dominican Republic	DO		NA	NA	Human		Crossbow, Light|Dagger	19-20	dreamy_fermat
8c37202	82268d2	58683883	1001a1	Human	Urchin	2018-12-15T07:58:04Z	Monk 20	Monk	Way of the Long Death	20	Observant|Magic Initiate|Prodigy|Ritual Caster|Alert	160	18	8	17	10	12	16	14		Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Persuasion	Dagger|Dart|Unarmed strike		12 14 2018	Int	United States	US		NA	NA	Human		Dagger|Dart|Unarmed Strike	19-20	elegant_austin
5f0c103	829adaa	3413640a	16ea32	Half-Orc	Hermit	2018-12-09T21:41:09Z	Barbarian 20	Barbarian	Path of the Berserker	20	Resilient	285	19	24	14	24	10	12	8		Athletics|Religion|Medicine|Perception|Intimidation	Greataxe|Handaxe|Javelin		12 09 2018	Int	Brazil	BR		NA	NA	Half-Orc		Greataxe|Handaxe|Javelin	19-20	elegant_stonebraker
5f0c103		cb7134a4	aceb99	Undead	Overlord	2018-12-09T21:38:49Z	Wizard 20	Wizard	School of Necromancy	20		92	18	9	14	15	21	21	0		Athletics|Arcana|Investigation|Perception|Survival	Cajado Classe Mundial++	Animate Dead*3	12 09 2018	Int	Brazil	BR		NA	NA		Animate Dead*3		19-20	ecstatic_khayyam
c1961dd	51ec2a1	67147ff7	9047b0	Human	Knight	2018-12-07T02:20:40Z	Paladin 20	Paladin	Oath of Devotion	20	Martial Adept|Mage Slayer|War Caster|Savage Attacker|Sentinel	248	19	21	13	21	11	15	19		Athletics|Religion|Intimidation|Persuasion	Whip|Javelin	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5	12 06 2018	Cha	United States	US		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5	Whip|Javelin	19-20	musing_mendel
a00bcc1	5a833ff	8918c6b7	60a252	Wood Elf	Hermit	2018-12-03T01:54:12Z	Druid 20	Druid	Circle of the Land	20	Elven Accuracy	143	15	10	14	14	18	20	10		Arcana|Religion|Animal Handling|Medicine|Perception		Invisibility*2|Pass without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5	12 02 2018	Wis	Brazil	BR		NA	NA	Elf	Invisibility*2|Pass Without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5		19-20	eloquent_wright
b9796a8	c8686f2	94802656	5a22dd	Goliath	Far Traveler	2018-11-26T16:30:30Z	Barbarian 20	Barbarian	Path of the Berserker	20	Alert|Mobile|Great Weapon Master|Observant|Resilient	245	17	30	14	20	11	8	12		Athletics|Insight|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin|Hammer Of Thunderbolts|Hammer Of Thunderbolts		11 26 2018	Int	United States	US		NA	NA	Goliath		Greataxe|Handaxe|Javelin	19-20	priceless_khorana
0c7b859		f8eb4985	927e3a	Forest Gnome	Sage	2018-11-17T21:48:26Z	Wizard 20	Wizard	School of Necromancy	20		154	14	8	18	19	20	18	8		Arcana|History|Religion|Medicine	Dagger	Animate Dead*3	11 17 2018	Int	United States	US		NA	NA	Gnome	Animate Dead*3	Dagger	19-20	dreamy_gould
1379386		fdc52944	11e790	Wood Elf	Hermit	2018-10-20T20:22:20Z	Druid 20	Druid	Circle of the Moon	20	War Caster|Sentinel|Alert	103	14	8	12	10	14	20	14		Arcana|Nature|Religion|Medicine|Perception	Scimitar		10 20 2018	Wis	United States	US		NA	NA	Elf		Scimitar	19-20	priceless_williamson
72e48b2		58584bed	031572	naga	Acolyte	2018-09-27T00:43:37Z	Mystic 20	Mystic	Order of the Immortal	20		163	15	19	17	14	20	8	8		Arcana|Religion|Insight|Perception	Mace|Crossbow, light		09 26 2018	Int	United States	US		NA	NA			Mace|Crossbow, Light	19-20	upbeat_driscoll
c53b1b3	ef71137	13d97705	7b7c1c	Human	Folk Hero	2018-09-08T19:42:47Z	Cleric 20	Cleric	War Domain	20		203	24	20	16	20	12	20	15		Religion|Animal Handling|Insight|Survival	Spear|ThePowerhead|GaeBolga	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5	09 08 2018	Wis	United Kingdom	GB		NA	NA	Human	Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5	Spear	19-20	angry_jones
36400cf		7db64c6b	b1bd6b	Human	Hermit	2018-08-01T01:25:29Z	Monk 20	Monk	Way of the Four Elements	20	Mobile|Observant	200	20	13	20	15	12	21	11		Acrobatics|History|Religion|Insight|Medicine	Dagger|Dart|Unarmed strike		07 31 2018	Int	United States	US		NA	NA	Human		Dagger|Dart|Unarmed Strike	19-20	eager_bartik
86cce77		00e959ea	22bf79	Deep Gnome	Acolyte	2018-07-24T22:37:38Z	Warlock 20	Warlock	The Celestial	20		260	15	18	18	20	22	24	20		Sleight of Hand|Stealth|History|Religion|Insight|Perception|Deception|Performance|Persuasion	Dagger|Dagger	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection From Good and Evil*1|Mage Armor - No Slot Needed*1|Disguise Self - No Slot Needed*1|Flaming Sphere*2|Lessor Restoration*2|Invisibility*2|Misty Step*2|Levitate - No Slot Needed*2|Alter Self - No Slot Needed*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Dance Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9	07 24 2018	Cha	United States	US		NA	NA	Gnome	Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection from Evil and Good*1|Mage Armor*1|Disguise Self*1|Flaming Sphere*2|Lesser Restoration*2|Invisibility*2|Misty Step*2|Levitate*2|Alter Self*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Danse Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9	Dagger	19-20	nifty_burnell
46f7fa3	c941da8	d0ebf47f	e9a755	Wood Elf	Guild Artisan	2018-07-09T17:23:10Z	Wizard 20	Wizard	School of Conjuration	20	Spell Sniper|Elven Accuracy|Elemental Adept|War Caster|Lucky	122	13	10	16	14	20	14	12		Arcana|Insight|Medicine|Perception|Persuasion	Quarterstaff	Blade Ward*0|Firebolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify (Free)*1|Find Familiar*1|Catapault*1|Ray Of Sickness*1|Disguise Self*1|Misty Step (Free)*2|Mirror Image*2|Scorching Ray*2|Nystul's Magic Aura*2|Mind Spike*2|Counterspell (Signature)*3|Fireball (Signature)*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainen's Faithful Hound*4|Steel Wind Strike*5|Bigby's Hand*5|Contingency*6|Tenser's Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Shield*8|Clone (Has A Clone) *8|Wish*9|Invulnerability*9	07 09 2018	Int	Canada	CA		NA	NA	Elf	Blade Ward*0|Fire Bolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify*1|Find Familiar*1|Catapult*1|Ray of Sickness*1|Disguise Self*1|Misty Step*2|Mirror Image*2|Scorching Ray*2|Nystul's Magic Aura*2|Mind Spike*2|Counterspell*3|Fireball*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainen's Faithful Hound*4|Steel Wind Strike*5|Bigby's Hand*5|Contingency*6|Tenser's Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Field*8|Wish*9|Invulnerability*9	Quarterstaff	19-20	trusting_babbage
36400cf	f72a5f4	9db4322e	68bf99	Kenku	Clan Crafter	2018-06-17T23:06:53Z	Warlock 20	Warlock	The Great Old One	20	Actor|War Caster	220	16	12	20	16	14	14	21		Stealth|Arcana|History|Religion|Insight|Deception	Crossbow, light|Dagger|Dagger		06 17 2018	Cha	United States	US		NA	NA	Kenku		Crossbow, Light|Dagger	19-20	loving_meitner
5d45df4	e9e9462	7ce1acc2	7ff7d2	Tiefling	Noble	2018-05-17T23:13:52Z	Paladin 20	Paladin	Oath of Ancients	20	Tough|Lucky	280	20	20	12	14	12	12	20		Athletics|History|Intimidation|Persuasion	Javelin|Greataxe|Longsword	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	05 17 2018	Cha	United States	US		NA	NA	Tiefling	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	Javelin|Greataxe|Longsword	19-20	priceless_dubinsky
5d45df4	e9e9462	9c419e7c	eecfc2	Tiefling	Charlatan	2018-05-17T23:12:06Z	Warlock 20	Warlock	The Hexblade	20	Heavily Armored	260	18	8	10	20	12	14	20		Sleight of Hand|Investigation|Deception|Intimidation	Dagger|Greataxe		05 17 2018	Cha	United States	US		NA	NA	Tiefling		Dagger|Greataxe	19-20	gracious_keldysh
0b0346e	3d22105	dbcd790d	c4f62f	Dragonborn	Hermit	2018-04-29T21:11:31Z	Barbarian 20	Barbarian	Path of the Totem Warrior	20		285	20	24	16	24	12	12	12		Religion|Medicine|Survival|Intimidation	Greataxe|Handaxe|Javelin		04 29 2018	Int	Brazil	BR		NA	NA	Dragonborn		Greataxe|Handaxe|Javelin	19-20	cool_mahavira
8ce11b9	517c7b2	324df5c3	1ed728	Half-Elf	Faction Agent	2018-04-21T14:08:42Z	Sorcerer 20	Sorcerer	Draconic Bloodline	20	Actor|Alert|Spell Sniper|Elven Accuracy|Elemental Adept	182	17	14	18	18	15	18	24		Arcana|Insight|Perception|Deception|Intimidation|Persuasion	Crossbow, light|Dagger		04 21 2018	Cha	Brazil	BR		NA	NA	Half-Elf		Crossbow, Light|Dagger	19-20	sweet_diffie
36400cf	5320e1b	2c30e540	aaf4b7	Dragonborn	Faction Agent	2018-09-19T03:34:04Z	Monk 19	Monk	Way of the Sun Soul	19		190	20	14	20	14	14	20	16		Acrobatics|Stealth|Insight|Perception	Shortsword|Dart|Unarmed strike		09 18 2018	Int	United States	US		NA	NA	Dragonborn		Shortsword|Dart|Unarmed Strike	19-20	jolly_poincare
86cce77	6470532	5429c460	370d36	Gray Dwarf	Acolyte	2018-07-06T21:03:30Z	Paladin 19	Paladin	Oath of Ancients	19	War Caster|Skilled|Resilient	266	21	20	14	19	8	12	18		Religion|Insight|Medicine|Perception|Deception|Intimidation|Persuasion	Longsword	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	07 06 2018	Cha	United States	US		NA	NA	Dwarf	Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5	Longsword	19-20	wonderful_mcclintock
	16dcefe	424fc6c1	c0130e	Serpentblood	Entertainer	2019-04-03T03:06:45Z	Bard 18	Bard	College of Glamour	18		170	15	11	18	16	12	10	20		Acrobatics|History|Insight|Deception|Performance	Longsword|Dagger		04 02 2019	Cha	Canada	CA		NA	NA	Yaun-Ti		Longsword|Dagger	16-18	zen_mclaren
a00c7d8	992e0a9	20676be2	2d149f	Serpentblood	Criminal	2019-04-02T23:14:29Z	Warlock 18	Warlock	The Hexblade	18	War Caster|Ritual Caster	129	15	14	14	14	16	10	20		Stealth|Arcana|Deception|Intimidation|Persuasion	Hex	Hex*1	04 02 2019	Cha	United States	US		NA	NA	Yaun-Ti	Hex*1		16-18	crazy_heyrovsky
fd34233	992e0a9	166f7d66	98986d	Variant	Sage	2019-03-21T16:59:45Z	Mystic 18	Mystic	Order of the Awakened	18	Prodigy	129	11	8	10	14	19	20	20		Arcana|History|Investigation|Nature|Insight|Perception|Deception|Performance|Persuasion	Spear|Crossbow, light		03 21 2019	Int	United States	US		NA	NA	Half-Elf		Spear|Crossbow, Light	16-18	gracious_easley
fd34233	992e0a9	ea28db90	7d454b	Variant	Clan Crafter	2019-03-21T16:54:51Z	Artificer 18	Artificer	Gunsmith	18	Linguist|Keen Mind|Sharpshooter	129	15	8	12	14	22	17	20		Sleight of Hand|Arcana|History|Investigation|Insight	Handaxe|Crossbow, light	Mending*0|Identify (Ritual)*1|Detect Magic (Ritual)*1	03 21 2019	Int	United States	US		NA	NA	Half-Elf	Mending*0|Identify*1|Detect Magic*1	Handaxe|Crossbow, Light	16-18	happy_tharp
2bc31d6	99b7e34	18403b26	ca3bfe	Variant	Cloistered Scholar	2019-03-25T19:38:24Z	Wizard 17	Wizard	Lore Mastery	17	Keen Mind|Actor	87	12	8	15	12	21	11	21		Athletics|Acrobatics|Arcana|History|Investigation|Insight	Quarterstaff		03 25 2019	Int	United States	US		NA	NA	Half-Elf		Quarterstaff	16-18	optimistic_mirzakhani
2832ce5	ca21761	b9cfa0a6	ad969e	Human	Acolyte	2019-01-29T04:38:17Z	Warlock 17	Warlock	The Celestial	17	Skulker|Resilient|Prodigy|Mobile	125	16	12	18	15	14	14	20	CG	Sleight of Hand|Stealth|Arcana|Investigation|Religion|Insight|Deception|Persuasion	Crossbow, light|Dagger	Light*0|Sacred Flame*0|Mage Hand*0|Eldritch Blast*0|Cure Wounds*1|Guiding Bolt*1|Charm Person*1|Protection From Good And Evil*1|Witchbolt*1|Lesser Restoration*2|Flaming Sphere*2|Hold Person*2|Invisibility*2|Suggestion*2|Revivify*3|Daylight*3|Fly*3|Counterspell*3|Dispel Magic*3|Guardian Of Faith*4|Wall Of Fire*4|Banishment*4|Flame Strike*5|Greater Restoration*5|Contact Other Plane*5|Dream*5|Scrying*5	01 28 2019	Cha	Australia	AU	CG	NA	NA	Human	Light*0|Sacred Flame*0|Mage Hand*0|Eldritch Blast*0|Cure Wounds*1|Guiding Bolt*1|Charm Person*1|Protection from Evil and Good*1|Witch Bolt*1|Lesser Restoration*2|Flaming Sphere*2|Hold Person*2|Invisibility*2|Suggestion*2|Revivify*3|Daylight*3|Fly*3|Counterspell*3|Dispel Magic*3|Guardian of Faith*4|Wall of Fire*4|Banishment*4|Flame Strike*5|Greater Restoration*5|Contact Other Plane*5|Dream*5|Scrying*5	Crossbow, Light|Dagger	16-18	nifty_villani
d33500f	2c3211b	cda57b9f	df54af	Half-Orc	Outlander	2018-12-29T01:04:23Z	Fighter 17	Fighter	Champion	17	Great Weapon Master|Savage Attacker	174	16	20	12	18	12	13	10		Athletics|Insight|Perception|Survival|Intimidation	Greataxe|Longbow|Handaxe		12 28 2018	Int	United States	US		NA	NA	Half-Orc		Greataxe|Longbow|Handaxe	16-18	youthful_darwin
	4483ed9	dc1acddb	99e0fa	High Elf	Acolyte	2019-04-01T21:19:12Z	Cleric 16	Cleric	Trickery Domain	16		176	17	10	13	16	14	20	12		History|Religion|Insight|Medicine|Perception	Mace|Crossbow, light	Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2|Blink*3|Dispel Magic*3|Dimension Door*4|Polymorph*4|Dominate Person*5|Modify Memory*5	04 01 2019	Wis	Canada	CA		NA	NA	Elf	Charm Person*1|Disguise Self*1|Mirror Image*2|Pass Without Trace*2|Blink*3|Dispel Magic*3|Dimension Door*4|Polymorph*4|Dominate Person*5|Modify Memory*5	Mace|Crossbow, Light	16-18	wizardly_villani
1796d26	b107a60	bbce9633	cca5cf	Triton	Entertainer	2019-03-30T05:41:21Z	Bard 16	Bard	College of Glamour	16	War Caster	121	10	18	8	14	10	10	20		Athletics|Acrobatics|Insight|Deception|Performance	Longsword|Dagger		03 29 2019	Cha	United States	US		NA	NA	Triton		Longsword|Dagger	16-18	recursing_proskuriakova
6dfcfe2	d1ea39f	76371c06	34702c	Githzerai	Afflicted	2019-03-22T18:00:04Z	Druid 16	Druid	Circle of Twilight	16		160	20	10	13	14	19	20	11		Nature|Medicine|Intimidation|Persuasion	Summer's Dance Scimitar		03 22 2019	Wis	United States	US		NA	NA	Gith		Scimitar	16-18	sleepy_elion
6dfcfe2	d1ea39f	ec1cb7b5	9edb2d	Juggeenaut	Soldier	2019-03-22T17:55:23Z	Barbarian 16	Barbarian	Path of the Limit Breaker	16	Durable|Great Weapon Master	302	20	22	14	20	6	9	13		Athletics|Animal Handling|Survival|Intimidation	Greataxe|Handaxe|Javelin|Unarmed strike		03 22 2019	Str	United States	US		NA	NA	Warforged		Greataxe|Handaxe|Javelin|Unarmed Strike	16-18	flamboyant_feistel
6dfcfe2	d1ea39f	84eecbf4	c18408	Dragonborn	Soldier	2019-03-22T17:12:48Z	Sorcerer 16	Sorcerer	Draconic Bloodline	16	Spell Sniper|War Caster	160	14	14	12	16	11	11	20		Athletics|Arcana|Intimidation|Persuasion	+2 Staff Of Power|Dire Dagger		03 22 2019	Cha	United States	US		NA	NA	Dragonborn		Dagger	16-18	eager_murdock
6dfcfe2	d1ea39f	45e86ba8	137325	Dragonborn	Soldier	2019-03-22T16:50:04Z	Sorcerer 16	Sorcerer	Draconic Bloodline	16	Spell Sniper|War Caster	160	14	14	12	16	11	11	20		Athletics|Arcana|Intimidation|Persuasion	Quarterstaff|Dagger		03 22 2019	Cha	United States	US		NA	NA	Dragonborn		Quarterstaff|Dagger	16-18	hopeful_roentgen
1f422c3		5144e3f2	fa63a2	Human	Hermit	2019-02-21T22:45:16Z	Mystic 16	Mystic	Order of the Wu Jen	16		150	17	12	19	20	22	12	4	neutral evil	Arcana|Religion|Insight|Medicine|Perception|Survival	Scimitar	Detect Magic*0|Misty Step*0|Fireball*0	02 21 2019	Int	United States	US	NE	NA	NA	Human	*	Scimitar	16-18	stupefied_germain
