race,background,date,class,justClass,subclass,level,feats,HP,AC,Str,Dex,Con,Int,Wis,Cha,alignment,skills,weapons,spells,day,castingStat,country,countryCode,processedAlignment,good,lawful,processedRace,processedSpells,processedWeapons,levelGroup,alias,difficulty,classType,keyStats,primaryClass,primaryDifficulty,primaryClassType,primaryKeyStats
High Elf,Sage,2019-02-14T21:05:37Z,['Wizard 20'],['Wizard'],['School of Necromancy'],20,"['Lucky', 'Elven Accuracy', 'Magic Initiate']",92,10,8,11,11,14,14,12,,"['Arcana', 'History', 'Investigation', 'Religion', 'Perception']",Quarterstaff,Animate Dead*3,02 14 2019,Int,Dominican Republic,DO,,,,Elf,{'3': ['Animate Dead']},['Quarterstaff'],19-20,suspicious_germain,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Human,Soldier,2019-02-14T21:03:50Z,['Monk 20'],['Monk'],['Way of the Open Hand'],20,"['Mobile', 'Lucky', 'Defensive Duelist']",189,12,16,15,16,13,11,11,,"['Athletics', 'Acrobatics', 'Religion', 'Intimidation']",Dart|Unarmed strike,,02 14 2019,Int,Dominican Republic,DO,,,,Human,,"['Dart', 'Unarmed Strike']",19-20,mystifying_darwin,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Ghastly Halfling,Acolyte,2019-02-14T21:02:09Z,['Cleric 20'],['Cleric'],['Knowledge Domain'],20,"['Lucky', 'Second Chance', 'Magic Initiate', 'Observant']",166,15,5,8,16,12,15,15,,"['Arcana', 'History', 'Nature', 'Religion', 'Insight', 'Persuasion']","Mace|Crossbow, light",Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3|Arcane Eye*4|Confusion*4|Legend Lore*5|Scrying*5,02 14 2019,Wis,Dominican Republic,DO,,,,Halfling,"{'1': ['Command', 'Identify'], '2': ['Augury', 'Suggestion'], '3': ['Nondetection', 'Speak with Dead'], '4': ['Arcane Eye', 'Confusion'], '5': ['Legend Lore', 'Scrying']}","['Mace', 'Crossbow, Light']",19-20,serene_bassi,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Gray Dwarf,Soldier,2019-02-14T21:01:26Z,['Paladin 20'],['Paladin'],['Oath of Vengeance'],20,"['Lucky', 'Dwarven Fortitude', 'Sentinel']",220,16,18,10,17,13,12,10,,"['Athletics', 'Religion', 'Medicine', 'Intimidation']",Javelin,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5,02 14 2019,Cha,Dominican Republic,DO,,,,Dwarf,"{'1': ['Bane', ""Hunter's Mark""], '2': ['Hold Person', 'Misty Step'], '3': ['Haste', 'Protection from Energy'], '4': ['Banishment', 'Dimension Door'], '5': ['Hold Monster', 'Scrying']}",['Javelin'],19-20,unruffled_nightingale,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Human,Hermit,2019-02-14T20:48:55Z,['Sorcerer 20'],['Sorcerer'],['Draconic Bloodline'],20,"['Magic Initiate', 'Mage Slayer', 'Lucky']",156,12,13,9,15,11,12,16,,"['Arcana', 'Religion', 'Medicine', 'Persuasion']","Crossbow, light|Dagger",,02 14 2019,Cha,Dominican Republic,DO,,,,Human,,"['Crossbow, Light', 'Dagger']",19-20,dreamy_fermat,Challenging,Magical,Cha,Sorcerer,Challenging,Magical,Cha
Human,Urchin,2018-12-15T07:58:04Z,['Monk 20'],['Monk'],['Way of the Long Death'],20,"['Observant', 'Magic Initiate', 'Prodigy', 'Ritual Caster', 'Alert']",160,18,8,17,10,12,16,14,,"['Acrobatics', 'Sleight of Hand', 'Stealth', 'Insight', 'Perception', 'Persuasion']",Dagger|Dart|Unarmed strike,,12 14 2018,Int,United States,US,,,,Human,,"['Dagger', 'Dart', 'Unarmed Strike']",19-20,elegant_austin,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Half Orc,Hermit,2018-12-09T21:41:09Z,['Barbarian 20'],['Barbarian'],['Path of the Berserker'],20,['Resilient'],285,19,24,14,24,10,12,8,,"['Athletics', 'Religion', 'Medicine', 'Perception', 'Intimidation']",Greataxe|Handaxe|Javelin,,12 09 2018,Int,Brazil,BR,,,,Half-Orc,,"['Greataxe', 'Handaxe', 'Javelin']",19-20,elegant_stonebraker,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Undead,Overlord,2018-12-09T21:38:49Z,['Wizard 20'],['Wizard'],['School of Necromancy'],20,[nan],92,18,9,14,15,21,21,0,,"['Athletics', 'Arcana', 'Investigation', 'Perception', 'Survival']",Cajado Classe Mundial++,Animate Dead*3,12 09 2018,Int,Brazil,BR,,,,,{'3': ['Animate Dead']},[nan],19-20,ecstatic_khayyam,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Human,Knight,2018-12-07T02:20:40Z,['Paladin 20'],['Paladin'],['Oath of Devotion'],20,"['Martial Adept', 'Mage Slayer', 'War Caster', 'Savage Attacker', 'Sentinel']",248,19,21,13,21,11,15,19,,"['Athletics', 'Religion', 'Intimidation', 'Persuasion']",Whip|Javelin,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,12 06 2018,Cha,United States,US,,,,Human,"{'1': ['Protection from Evil and Good', 'Sanctuary'], '2': ['Lesser Restoration', 'Zone of Truth'], '3': ['Beacon of Hope', 'Dispel Magic'], '4': ['Freedom of Movement', 'Guardian of Faith'], '5': ['Commune', 'Flame Strike']}","['Whip', 'Javelin']",19-20,musing_mendel,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Wood Elf,Hermit,2018-12-03T01:54:12Z,['Druid 20'],['Druid'],['Circle of the Land'],20,['Elven Accuracy'],143,15,10,14,14,18,20,10,,"['Arcana', 'Religion', 'Animal Handling', 'Medicine', 'Perception']",,Invisibility*2|Pass without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5,12 02 2018,Wis,Brazil,BR,,,,Elf,"{'2': ['Invisibility', 'Pass Without Trace'], '3': ['Daylight', 'Haste'], '4': ['Divination', 'Freedom of Movement'], '5': ['Dream', 'Insect Plague']}",[nan],19-20,eloquent_wright,Challenging,Magical,Wis,Druid,Challenging,Magical,Wis
Goliath,Far Traveler,2018-11-26T16:30:30Z,['Barbarian 20'],['Barbarian'],['Path of the Berserker'],20,"['Alert', 'Mobile', 'Great Weapon Master', 'Observant', 'Resilient']",245,17,30,14,20,11,8,12,,"['Athletics', 'Insight', 'Perception', 'Survival', 'Intimidation']",Greataxe|Handaxe|Javelin|Hammer Of Thunderbolts|Hammer Of Thunderbolts,,11 26 2018,Int,United States,US,,,,Goliath,,"['Greataxe', 'Handaxe', 'Javelin']",19-20,priceless_khorana,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Forest Gnome,Sage,2018-11-17T21:48:26Z,['Wizard 20'],['Wizard'],['School of Necromancy'],20,[nan],154,14,8,18,19,20,18,8,,"['Arcana', 'History', 'Religion', 'Medicine']",Dagger,Animate Dead*3,11 17 2018,Int,United States,US,,,,Gnome,{'3': ['Animate Dead']},['Dagger'],19-20,dreamy_gould,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Wood Elf,Hermit,2018-10-20T20:22:20Z,['Druid 20'],['Druid'],['Circle of the Moon'],20,"['War Caster', 'Sentinel', 'Alert']",103,14,8,12,10,14,20,14,,"['Arcana', 'Nature', 'Religion', 'Medicine', 'Perception']",Scimitar,,10 20 2018,Wis,United States,US,,,,Elf,,['Scimitar'],19-20,priceless_williamson,Challenging,Magical,Wis,Druid,Challenging,Magical,Wis
Naga,Acolyte,2018-09-27T00:43:37Z,['Mystic 20'],['Mystic'],['Order of the Immortal'],20,[nan],163,15,19,17,14,20,8,8,,"['Arcana', 'Religion', 'Insight', 'Perception']","Mace|Crossbow, light",,09 26 2018,Int,United States,US,,,,,,"['Mace', 'Crossbow, Light']",19-20,upbeat_driscoll,[],[],[],Mystic,[],[],[]
Human,Folk Hero,2018-09-08T19:42:47Z,['Cleric 20'],['Cleric'],['War Domain'],20,[nan],203,24,20,16,20,12,20,15,,"['Religion', 'Animal Handling', 'Insight', 'Survival']",Spear|ThePowerhead|GaeBolga,Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusader's Mantle*3|Spirit Guardian*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5,09 08 2018,Wis,United Kingdom,GB,,,,Human,"{'1': ['Divine Favor', 'Shield of Faith'], '2': ['Magic Weapon', 'Spiritual Weapon'], '3': [""Crusader's Mantle"", 'Spirit Guardians'], '4': ['Freedom of Movement', 'Stoneskin'], '5': ['Flame Strike', 'Hold Monster']}",['Spear'],19-20,angry_jones,Medium,Hybrid,Wis,Cleric,Medium,Hybrid,Wis
Human,Hermit,2018-08-01T01:25:29Z,['Monk 20'],['Monk'],['Way of the Four Elements'],20,"['Mobile', 'Observant']",200,20,13,20,15,12,21,11,,"['Acrobatics', 'History', 'Religion', 'Insight', 'Medicine']",Dagger|Dart|Unarmed strike,,07 31 2018,Int,United States,US,,,,Human,,"['Dagger', 'Dart', 'Unarmed Strike']",19-20,eager_bartik,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Deep Gnome,Acolyte,2018-07-24T22:37:38Z,['Warlock 20'],['Warlock'],['The Celestial'],20,[nan],260,15,18,18,20,22,24,20,,"['Sleight of Hand', 'Stealth', 'History', 'Religion', 'Insight', 'Perception', 'Deception', 'Performance', 'Persuasion']",Dagger|Dagger,Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection From Good and Evil*1|Mage Armor - No Slot Needed*1|Disguise Self - No Slot Needed*1|Flaming Sphere*2|Lessor Restoration*2|Invisibility*2|Misty Step*2|Levitate - No Slot Needed*2|Alter Self - No Slot Needed*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Dance Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9,07 24 2018,Cha,United States,US,,,,Gnome,"{'0': ['Light', 'Sacred Flame', 'Eldritch Blast', 'Prestidigitation', 'Mage Hand', 'Minor Illusion', 'Word of Radiance', 'Guidance', 'Spare the Dying'], '1': ['Cure Wounds', 'Guiding Bolt', 'Comprehend Languages', 'Illusory Script', 'Protection from Evil and Good', 'Mage Armor', 'Disguise Self'], '2': ['Flaming Sphere', 'Lesser Restoration', 'Invisibility', 'Misty Step', 'Levitate', 'Alter Self'], '3': ['Daylight', 'Revivify', 'Dispel Magic', 'Gaseous Form', 'Fireball'], '4': ['Guardian of Faith', 'Wall of Fire', 'Dimension Door', 'Banishment', 'Polymorph'], '5': ['Flame Strike', 'Greater Restoration', 'Synaptic Static', 'Danse Macabre'], '6': ['Mass Suggestion'], '7': ['Crown of Stars'], '8': ['Feeblemind'], '9': ['Power Word Kill']}",['Dagger'],19-20,nifty_burnell,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Wood Elf,Guild Artisan,2018-07-09T17:23:10Z,['Wizard 20'],['Wizard'],['School of Conjuration'],20,"['Spell Sniper', 'Elven Accuracy', 'Elemental Adept', 'War Caster', 'Lucky']",122,13,10,16,14,20,14,12,,"['Arcana', 'Insight', 'Medicine', 'Perception', 'Persuasion']",Quarterstaff,Blade Ward*0|Firebolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify (Free)*1|Find Familiar*1|Catapault*1|Ray Of Sickness*1|Disguise Self*1|Misty Step (Free)*2|Mirror Image*2|Scorching Ray*2|Nystul's Magic Aura*2|Mind Spike*2|Counterspell (Signature)*3|Fireball (Signature)*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainen's Faithful Hound*4|Steel Wind Strike*5|Bigby's Hand*5|Contingency*6|Tenser's Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Shield*8|Clone (Has A Clone) *8|Wish*9|Invulnerability*9,07 09 2018,Int,Canada,CA,,,,Elf,"{'0': ['Blade Ward', 'Fire Bolt', 'Green-Flame Blade', 'Ray of Frost', 'Message', 'Control Flames'], '1': ['Identify', 'Find Familiar', 'Catapult', 'Ray of Sickness', 'Disguise Self'], '2': ['Misty Step', 'Mirror Image', 'Scorching Ray', ""Nystul's Magic Aura"", 'Mind Spike'], '3': ['Counterspell', 'Fireball', 'Counterspell', 'Dispel Magic', 'Summon Lesser Demons', 'Vampiric Touch'], '4': ['Dimension Door', 'Summon Greater Demon', ""Mordenkainen's Faithful Hound""], '5': ['Steel Wind Strike', ""Bigby's Hand""], '6': ['Contingency', ""Tenser's Transformation""], '7': ['Reverse Gravity', 'Forcecage'], '8': ['Sunburst', 'Antimagic Field'], '9': ['Wish', 'Invulnerability']}",['Quarterstaff'],19-20,trusting_babbage,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
Kenku,Clan Crafter,2018-06-17T23:06:53Z,['Warlock 20'],['Warlock'],['The Great Old One'],20,"['Actor', 'War Caster']",220,16,12,20,16,14,14,21,,"['Stealth', 'Arcana', 'History', 'Religion', 'Insight', 'Deception']","Crossbow, light|Dagger|Dagger",,06 17 2018,Cha,United States,US,,,,Kenku,,"['Crossbow, Light', 'Dagger']",19-20,loving_meitner,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Tiefling,Noble,2018-05-17T23:13:52Z,['Paladin 20'],['Paladin'],['Oath of Ancients'],20,"['Tough', 'Lucky']",280,20,20,12,14,12,12,20,,"['Athletics', 'History', 'Intimidation', 'Persuasion']",Javelin|Greataxe|Longsword,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5,05 17 2018,Cha,United States,US,,,,Tiefling,"{'1': ['Ensnaring Strike', 'Speak with Animals'], '2': ['Moonbeam', 'Misty Step'], '3': ['Plant Growth', 'Protection from Energy'], '4': ['Ice Storm', 'Stoneskin'], '5': ['Commune with Nature', 'Tree Stride']}","['Javelin', 'Greataxe', 'Longsword']",19-20,priceless_dubinsky,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Tiefling,Charlatan,2018-05-17T23:12:06Z,['Warlock 20'],['Warlock'],['The Hexblade'],20,['Heavily Armored'],260,18,8,10,20,12,14,20,,"['Sleight of Hand', 'Investigation', 'Deception', 'Intimidation']",Dagger|Greataxe,,05 17 2018,Cha,United States,US,,,,Tiefling,,"['Dagger', 'Greataxe']",19-20,gracious_keldysh,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Dragonborn,Hermit,2018-04-29T21:11:31Z,['Barbarian 20'],['Barbarian'],['Path of the Totem Warrior'],20,[nan],285,20,24,16,24,12,12,12,,"['Religion', 'Medicine', 'Survival', 'Intimidation']",Greataxe|Handaxe|Javelin,,04 29 2018,Int,Brazil,BR,,,,Dragonborn,,"['Greataxe', 'Handaxe', 'Javelin']",19-20,cool_mahavira,Easy,Combat,Str,Barbarian,Easy,Combat,Str
Half Elf,Faction Agent,2018-04-21T14:08:42Z,['Sorcerer 20'],['Sorcerer'],['Draconic Bloodline'],20,"['Actor', 'Alert', 'Spell Sniper', 'Elven Accuracy', 'Elemental Adept']",182,17,14,18,18,15,18,24,,"['Arcana', 'Insight', 'Perception', 'Deception', 'Intimidation', 'Persuasion']","Crossbow, light|Dagger",,04 21 2018,Cha,Brazil,BR,,,,Half-Elf,,"['Crossbow, Light', 'Dagger']",19-20,sweet_diffie,Challenging,Magical,Cha,Sorcerer,Challenging,Magical,Cha
Dragonborn,Faction Agent,2018-09-19T03:34:04Z,['Monk 19'],['Monk'],['Way of the Sun Soul'],19,[nan],190,20,14,20,14,14,20,16,,"['Acrobatics', 'Stealth', 'Insight', 'Perception']",Shortsword|Dart|Unarmed strike,,09 18 2018,Int,United States,US,,,,Dragonborn,,"['Shortsword', 'Dart', 'Unarmed Strike']",19-20,jolly_poincare,Medium,Combat,"['Wis', 'Dex']",Monk,Medium,Combat,"['Wis', 'Dex']"
Gray Dwarf,Acolyte,2018-07-06T21:03:30Z,['Paladin 19'],['Paladin'],['Oath of Ancients'],19,"['War Caster', 'Skilled', 'Resilient']",266,21,20,14,19,8,12,18,,"['Religion', 'Insight', 'Medicine', 'Perception', 'Deception', 'Intimidation', 'Persuasion']",Longsword,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5,07 06 2018,Cha,United States,US,,,,Dwarf,"{'1': ['Ensnaring Strike', 'Speak with Animals'], '2': ['Moonbeam', 'Misty Step'], '3': ['Plant Growth', 'Protection from Energy'], '4': ['Ice Storm', 'Stoneskin'], '5': ['Commune with Nature', 'Tree Stride']}",['Longsword'],19-20,wonderful_mcclintock,Easy,Hybrid,"['Str', 'Cha']",Paladin,Easy,Hybrid,"['Str', 'Cha']"
Serpentblood,Entertainer,2019-04-03T03:06:45Z,['Bard 18'],['Bard'],['College of Glamour'],18,[nan],170,15,11,18,16,12,10,20,,"['Acrobatics', 'History', 'Insight', 'Deception', 'Performance']",Longsword|Dagger,,04 02 2019,Cha,Canada,CA,,,,Yaun-Ti,,"['Longsword', 'Dagger']",16-18,zen_mclaren,Challenging,Hybrid,Cha,Bard,Challenging,Hybrid,Cha
Serpentblood,Criminal,2019-04-02T23:14:29Z,['Warlock 18'],['Warlock'],['The Hexblade'],18,"['War Caster', 'Ritual Caster']",129,15,14,14,14,16,10,20,,"['Stealth', 'Arcana', 'Deception', 'Intimidation', 'Persuasion']",Hex,Hex*1,04 02 2019,Cha,United States,US,,,,Yaun-Ti,{'1': ['Hex']},[nan],16-18,crazy_heyrovsky,Medium,Magical,Cha,Warlock,Medium,Magical,Cha
Variant,Sage,2019-03-21T16:59:45Z,['Mystic 18'],['Mystic'],['Order of the Awakened'],18,['Prodigy'],129,11,8,10,14,19,20,20,,"['Arcana', 'History', 'Investigation', 'Nature', 'Insight', 'Perception', 'Deception', 'Performance', 'Persuasion']","Spear|Crossbow, light",,03 21 2019,Int,United States,US,,,,Half-Elf,,"['Spear', 'Crossbow, Light']",16-18,gracious_easley,[],[],[],Mystic,[],[],[]
Variant,Clan Crafter,2019-03-21T16:54:51Z,['Artificer 18'],['Artificer'],['Gunsmith'],18,"['Linguist', 'Keen Mind', 'Sharpshooter']",129,15,8,12,14,22,17,20,,"['Sleight of Hand', 'Arcana', 'History', 'Investigation', 'Insight']","Handaxe|Crossbow, light",Mending*0|Identify (Ritual)*1|Detect Magic (Ritual)*1,03 21 2019,Int,United States,US,,,,Half-Elf,"{'0': ['Mending'], '1': ['Identify', 'Detect Magic']}","['Handaxe', 'Crossbow, Light']",16-18,happy_tharp,[],[],[],Artificer,[],[],[]
Variant,Cloistered Scholar,2019-03-25T19:38:24Z,['Wizard 17'],['Wizard'],['Lore Mastery'],17,"['Keen Mind', 'Actor']",87,12,8,15,12,21,11,21,,"['Athletics', 'Acrobatics', 'Arcana', 'History', 'Investigation', 'Insight']",Quarterstaff,,03 25 2019,Int,United States,US,,,,Half-Elf,,['Quarterstaff'],16-18,optimistic_mirzakhani,Challenging,Magical,Int,Wizard,Challenging,Magical,Int
